 ,Label,Area,Mean,%Area
1,IJ_Syunik_South_Autumn_Senescence.tif,1288855,201.889,100
2,IJ_Syunik_South_Spring_Rebirth.tif,1288855,209.547,100
3,IJ_Syunik_South_Summer_Peak.tif,1288855,200.061,100
4,IJ_Syunik_South_Winter_Dormancy.tif,1288855,164.247,100
